X1,X2,X3,X4,X5,href
1,4656,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(十六)(7400字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820822&cs=9750604&str=对部分国家+出口商品类章+海关统计
2,4655,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(十五)(7453字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820821&cs=1328656&str=对部分国家+出口商品类章+海关统计
3,4654,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(十四)(7793字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820820&cs=10309905&str=对部分国家+出口商品类章+海关统计
4,4653,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(十三)(7736字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820819&cs=12085902&str=对部分国家+出口商品类章+海关统计
5,4652,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(十二)(7544字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820818&cs=13848974&str=对部分国家+出口商品类章+海关统计
6,4651,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(十一)(7738字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820817&cs=920799&str=对部分国家+出口商品类章+海关统计
7,4650,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(十)(8539字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820816&cs=15313778&str=对部分国家+出口商品类章+海关统计
8,4649,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(九)(8473字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820815&cs=3991250&str=对部分国家+出口商品类章+海关统计
9,4648,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(八)(7696字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820814&cs=1662070&str=对部分国家+出口商品类章+海关统计
10,4647,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(七)(7777字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820813&cs=2093687&str=对部分国家+出口商品类章+海关统计
11,4646,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(六)(7765字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820812&cs=5082242&str=对部分国家+出口商品类章+海关统计
12,4645,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(五)(7828字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820811&cs=12843729&str=对部分国家+出口商品类章+海关统计
13,4644,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(四)(7724字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820810&cs=9284450&str=对部分国家+出口商品类章+海关统计
14,4643,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(三)(7818字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820809&cs=9588933&str=对部分国家+出口商品类章+海关统计
15,4642,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(二)(7967字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820808&cs=7663429&str=对部分国家+出口商品类章+海关统计
16,4641,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(一)(8060字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820807&cs=14331968&str=对部分国家+出口商品类章+海关统计
17,4640,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(二十二)(7726字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820720&cs=5626895&str=对部分国家+出口商品类章+海关统计
18,4639,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(二十一)(7819字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820719&cs=15862016&str=对部分国家+出口商品类章+海关统计
19,4638,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(二十)(7310字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820718&cs=2526364&str=对部分国家+出口商品类章+海关统计
20,4637,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(十九)(7385字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820717&cs=16258372&str=对部分国家+出口商品类章+海关统计
21,4636,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(十八)(7656字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820716&cs=12372880&str=对部分国家+出口商品类章+海关统计
22,4635,20191130,中国2019年1-11月对部分国家(地区)出口商品类章金额统计(十七)(7677字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820715&cs=9165358&str=对部分国家+出口商品类章+海关统计
