"number","table","currency","variables","year","month","url"
"表13","出口主要商品量值表","美元","出口",2020,"5 ","www.customs.gov.cn/customs/302249/302274/302277/302276/3155348/index.html"
"表13","出口主要商品量值表","美元","出口",2020,"6",NA
"表13","出口主要商品量值表","美元","出口",2020,"7",NA
"表13","出口主要商品量值表","美元","出口",2020,"8",NA
"表13","出口主要商品量值表","美元","出口",2020,"9",NA
"表13","出口主要商品量值表","美元","出口",2020,"10",NA
"表13","出口主要商品量值表","美元","出口",2020,"11",NA
"表13","出口主要商品量值表","美元","出口",2020,"12",NA
"表13","出口主要商品量值表","人民币","出口",2019,"1","www.customs.gov.cn/customs/302249/302274/302277/302276/2314401/index.html"
"表13","出口主要商品量值表","人民币","出口",2019,"2","www.customs.gov.cn/customs/302249/302274/302277/302276/2352988/index.html"
"表13","出口主要商品量值表","人民币","出口",2019,"3","www.customs.gov.cn/customs/302249/302274/302277/302276/2391904/index.html"
"表13","出口主要商品量值表","人民币","出口",2019,"4","www.customs.gov.cn/customs/302249/302274/302277/302276/2447560/index.html"
"表13","出口主要商品量值表","人民币","出口",2019,"5","www.customs.gov.cn/customs/302249/302274/302277/302276/2513996/index.html"
"表13","出口主要商品量值表","人民币","出口",2019,"6","www.customs.gov.cn/customs/302249/302274/302277/302276/2546291/index.html"
"表13","出口主要商品量值表","人民币","出口",2019,"7","www.customs.gov.cn/customs/302249/302274/302277/302276/2573615/index.html"
"表13","出口主要商品量值表","人民币","出口",2019,"8","www.customs.gov.cn/customs/302249/302274/302277/302276/2604030/index.html"
"表13","出口主要商品量值表","人民币","出口",2019,"9","www.customs.gov.cn/customs/302249/302274/302277/302276/2653538/index.html"
"表13","出口主要商品量值表","人民币","出口",2019,"10","www.customs.gov.cn/customs/302249/302274/302277/302276/2709012/index.html"
"表13","出口主要商品量值表","人民币","出口",2019,"11","www.customs.gov.cn/customs/302249/302274/302277/302276/2791146/index.html"
"表13","出口主要商品量值表","人民币","出口",2019,"12","www.customs.gov.cn/customs/302249/302274/302277/302276/2851356/index.html"
"表13","出口主要商品量值表","美元","出口",2019,"1","www.customs.gov.cn/customs/302249/302274/302277/302276/2314594/index.html"
"表13","出口主要商品量值表","美元","出口",2019,"2","www.customs.gov.cn/customs/302249/302274/302277/302276/2353052/index.html"
"表13","出口主要商品量值表","美元","出口",2019,"3","www.customs.gov.cn/customs/302249/302274/302277/302276/2392276/index.html"
"表13","出口主要商品量值表","美元","出口",2019,"4","www.customs.gov.cn/customs/302249/302274/302277/302276/2448403/index.html"
"表13","出口主要商品量值表","美元","出口",2019,"5","www.customs.gov.cn/customs/302249/302274/302277/302276/2514057/index.html"
"表13","出口主要商品量值表","美元","出口",2019,"6","www.customs.gov.cn/customs/302249/302274/302277/302276/2546593/index.html"
"表13","出口主要商品量值表","美元","出口",2019,"7","www.customs.gov.cn/customs/302249/302274/302277/302276/2573798/index.html"
"表13","出口主要商品量值表","美元","出口",2019,"8","www.customs.gov.cn/customs/302249/302274/302277/302276/2604213/index.html"
"表13","出口主要商品量值表","美元","出口",2019,"9","www.customs.gov.cn/customs/302249/302274/302277/302276/2653863/index.html"
"表13","出口主要商品量值表","美元","出口",2019,"10","www.customs.gov.cn/customs/302249/302274/302277/302276/2709105/index.html"
"表13","出口主要商品量值表","美元","出口",2019,"11","www.customs.gov.cn/customs/302249/302274/302277/302276/2791485/index.html"
"表13","出口主要商品量值表","美元","出口",2019,"12","www.customs.gov.cn/customs/302249/302274/302277/302276/2851454/index.html"
"表13","出口主要商品量值表","人民币","出口",2018,"1 ","www.customs.gov.cn/customs/302249/302274/302277/302276/1466744/index.html"
"表13","出口主要商品量值表","人民币","出口",2018,"2 ","www.customs.gov.cn/customs/302249/302274/302277/302276/1475254/index.html"
