X1,X2,X3,X4,X5,href
41,4486,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(四)(7592字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821430&cs=6843583&str=自部分国家+进口商品类章+海关统计
42,4485,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(三)(7789字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821429&cs=443063&str=自部分国家+进口商品类章+海关统计
43,4484,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(二)(7645字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821428&cs=12926701&str=自部分国家+进口商品类章+海关统计
44,4483,20191231,中国2019年1-12月自部分国家(地区)进口商品类章金额统计(一)(7794字),精讯数据,/IrisBin/Text.dll?db=TJ&no=821427&cs=5719361&str=自部分国家+进口商品类章+海关统计
45,4482,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(二十二)(7438字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820850&cs=13643783&str=自部分国家+进口商品类章+海关统计
46,4481,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(二十一)(7952字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820849&cs=2099653&str=自部分国家+进口商品类章+海关统计
47,4480,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(二十)(7143字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820848&cs=5385392&str=自部分国家+进口商品类章+海关统计
48,4479,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(十九)(7430字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820847&cs=13944252&str=自部分国家+进口商品类章+海关统计
49,4478,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(十八)(7737字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820846&cs=7416828&str=自部分国家+进口商品类章+海关统计
50,4477,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(十七)(7783字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820845&cs=3672930&str=自部分国家+进口商品类章+海关统计
1,4476,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(十六)(7145字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820844&cs=6580008&str=自部分国家+进口商品类章+海关统计
2,4475,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(十五)(7343字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820843&cs=11426680&str=自部分国家+进口商品类章+海关统计
3,4474,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(十四)(7454字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820842&cs=4786773&str=自部分国家+进口商品类章+海关统计
4,4473,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(十三)(7725字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820841&cs=7403618&str=自部分国家+进口商品类章+海关统计
5,4472,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(十二)(7412字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820840&cs=10287192&str=自部分国家+进口商品类章+海关统计
6,4471,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(十一)(7592字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820839&cs=7539672&str=自部分国家+进口商品类章+海关统计
7,4470,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(十)(8376字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820838&cs=1670356&str=自部分国家+进口商品类章+海关统计
8,4469,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(九)(8457字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820837&cs=10156040&str=自部分国家+进口商品类章+海关统计
9,4468,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(八)(7629字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820836&cs=4057447&str=自部分国家+进口商品类章+海关统计
10,4467,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(七)(7732字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820835&cs=7642518&str=自部分国家+进口商品类章+海关统计
11,4466,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(六)(7570字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820834&cs=11339153&str=自部分国家+进口商品类章+海关统计
12,4465,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(五)(7795字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820833&cs=6033990&str=自部分国家+进口商品类章+海关统计
13,4464,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(四)(7591字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820832&cs=3659714&str=自部分国家+进口商品类章+海关统计
14,4463,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(三)(7857字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820831&cs=7175258&str=自部分国家+进口商品类章+海关统计
15,4462,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(二)(7649字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820830&cs=11140370&str=自部分国家+进口商品类章+海关统计
16,4461,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(一)(7797字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820829&cs=13430906&str=自部分国家+进口商品类章+海关统计
17,4460,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(二十二)(7433字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820742&cs=2992513&str=自部分国家+进口商品类章+海关统计
18,4459,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(二十一)(7700字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820741&cs=16211162&str=自部分国家+进口商品类章+海关统计
19,4458,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(二十)(7142字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820740&cs=4368856&str=自部分国家+进口商品类章+海关统计
20,4457,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(十九)(7416字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820739&cs=5528140&str=自部分国家+进口商品类章+海关统计
21,4456,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(十八)(7608字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820738&cs=6198481&str=自部分国家+进口商品类章+海关统计
22,4455,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(十七)(7774字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820737&cs=123917&str=自部分国家+进口商品类章+海关统计
23,4454,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(十六)(7133字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820736&cs=14675721&str=自部分国家+进口商品类章+海关统计
24,4453,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(十五)(7213字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820735&cs=973247&str=自部分国家+进口商品类章+海关统计
25,4452,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(十四)(7450字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820734&cs=14133772&str=自部分国家+进口商品类章+海关统计
26,4451,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(十三)(7721字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820733&cs=2907570&str=自部分国家+进口商品类章+海关统计
27,4450,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(十二)(7347字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820732&cs=8811671&str=自部分国家+进口商品类章+海关统计
28,4449,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(十一)(7609字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820731&cs=8322178&str=自部分国家+进口商品类章+海关统计
29,4448,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(十)(8311字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820730&cs=10768290&str=自部分国家+进口商品类章+海关统计
30,4447,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(九)(8422字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820729&cs=11789667&str=自部分国家+进口商品类章+海关统计
31,4446,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(八)(7500字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820728&cs=14421674&str=自部分国家+进口商品类章+海关统计
32,4445,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(七)(7727字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820727&cs=13559463&str=自部分国家+进口商品类章+海关统计
33,4444,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(六)(7443字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820726&cs=9329606&str=自部分国家+进口商品类章+海关统计
34,4443,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(五)(7792字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820725&cs=10658405&str=自部分国家+进口商品类章+海关统计
35,4442,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(四)(7585字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820724&cs=9836651&str=自部分国家+进口商品类章+海关统计
36,4441,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(三)(7785字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820723&cs=16522304&str=自部分国家+进口商品类章+海关统计
37,4440,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(二)(7582字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820722&cs=8278239&str=自部分国家+进口商品类章+海关统计
38,4439,20191130,中国2019年1-11月自部分国家(地区)进口商品类章金额统计(一)(7792字),精讯数据,/IrisBin/Text.dll?db=TJ&no=820721&cs=2839436&str=自部分国家+进口商品类章+海关统计
39,4438,20190831,中国2019年1-8月自部分国家(地区)进口商品类章金额统计(二十二)(7424字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816716&cs=1586312&str=自部分国家+进口商品类章+海关统计
40,4437,20190831,中国2019年1-8月自部分国家(地区)进口商品类章金额统计(二十一)(7818字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816715&cs=8313997&str=自部分国家+进口商品类章+海关统计
41,4436,20190831,中国2019年1-8月自部分国家(地区)进口商品类章金额统计(二十)(7011字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816714&cs=10556952&str=自部分国家+进口商品类章+海关统计
42,4435,20190831,中国2019年1-8月自部分国家(地区)进口商品类章金额统计(十九)(7419字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816713&cs=8322769&str=自部分国家+进口商品类章+海关统计
43,4434,20190831,中国2019年1-8月自部分国家(地区)进口商品类章金额统计(十八)(7668字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816712&cs=7706924&str=自部分国家+进口商品类章+海关统计
44,4433,20190831,中国2019年1-8月自部分国家(地区)进口商品类章金额统计(十七)(7771字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816711&cs=483768&str=自部分国家+进口商品类章+海关统计
45,4432,20190831,中国2019年1-8月自部分国家(地区)进口商品类章金额统计(十六)(7130字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816710&cs=15875872&str=自部分国家+进口商品类章+海关统计
46,4431,20190831,中国2019年1-8月自部分国家(地区)进口商品类章金额统计(十五)(7209字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816709&cs=878859&str=自部分国家+进口商品类章+海关统计
47,4430,20190831,中国2019年1-8月自部分国家(地区)进口商品类章金额统计(十四)(7445字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816708&cs=13868773&str=自部分国家+进口商品类章+海关统计
48,4429,20190831,中国2019年1-8月自部分国家(地区)进口商品类章金额统计(十三)(7717字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816707&cs=38752&str=自部分国家+进口商品类章+海关统计
49,4428,20190831,中国2019年1-8月自部分国家(地区)进口商品类章金额统计(十二)(7279字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816706&cs=9933937&str=自部分国家+进口商品类章+海关统计
50,4427,20190831,中国2019年1-8月自部分国家(地区)进口商品类章金额统计(十一)(7602字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816705&cs=5677122&str=自部分国家+进口商品类章+海关统计
1,4426,20190831,中国2019年1-8月自部分国家(地区)进口商品类章金额统计(十)(8245字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816704&cs=14652683&str=自部分国家+进口商品类章+海关统计
2,4425,20190831,中国2019年1-8月自部分国家(地区)进口商品类章金额统计(九)(8411字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816703&cs=7422892&str=自部分国家+进口商品类章+海关统计
3,4424,20190831,中国2019年1-8月自部分国家(地区)进口商品类章金额统计(八)(7559字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816702&cs=4196492&str=自部分国家+进口商品类章+海关统计
4,4423,20190831,中国2019年1-8月自部分国家(地区)进口商品类章金额统计(七)(7724字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816701&cs=12493538&str=自部分国家+进口商品类章+海关统计
