"年度","月份","序号","类章序号","类章名目","出口_当月","出口_累计","进口_当月","进口_累计","累计同期变动_出口","累计同期变动_进口"
2015,2,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",159466,420932,395054,870208,-1.6,47.6
2015,2,13,"10章","10章 谷物",12340,27509,413217,840626,48.3,25.9
2015,2,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",27738,60788,34608,88440,10.4,-16.9
2015,2,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",32423,68382,226804,646431,23.1,-41.8
2015,2,38,"31章","31章 肥料",478644,951942,161672,342544,87.7,16.9
2015,2,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",110925,233814,81539,250030,4.3,-11.4
2015,2,64,"52章","52章 棉花",647576,1419992,418758,1028499,3.1,-28.1
2015,3,3,"01章","01章 活动物",27381,61458,19821,113886,-6.3,88.4
2015,3,4,"02章","02章 肉及食用杂碎",52066,149127,322246,873966,0.9,-0.2
2015,3,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",451928,1886735,335939,882667,9.2,-4
2015,3,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",26706,85573,174729,621298,8.4,-61.6
2015,3,10,"07章","07章 食用蔬菜、根及块茎",374868,1209882,195781,489753,9.4,-7.2
2015,3,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",123954,544872,309975,1181169,-9.3,42.5
2015,3,13,"10章","10章 谷物",9146,36655,393235,1233812,22.2,26.2
2015,3,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",26488,87273,58906,147382,-2.3,-9.4
2015,3,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",26750,95099,319285,965709,6.3,-39.3
2015,3,38,"31章","31章 肥料",559215,1511148,167809,510353,82,7.4
2015,3,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",109458,343272,199759,449789,-8.8,0.9
2015,3,64,"52章","52章 棉花",558203,1978038,632414,1660863,-10.1,-22.4
2015,4,3,"01章","01章 活动物",30131,91588,23695,137510,-4.1,64.6
2015,4,4,"02章","02章 肉及食用杂碎",60513,209640,332830,1206856,3.8,-2.5
2015,4,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",612120,2498679,385849,1268493,2.9,-4.8
2015,4,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",30729,116305,173969,795302,9.7,-61.9
2015,4,10,"07章","07章 食用蔬菜、根及块茎",445662,1655482,197546,687299,8.4,-2.7
2015,4,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",130800,675649,361759,1543140,-8.1,37.8
2015,4,13,"10章","10章 谷物",22280,58935,508106,1742000,40.4,30.7
2015,4,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",30035,117303,73092,220474,-5.9,2.6
2015,4,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",34123,129225,398912,1364521,6.5,-34.6
2015,4,38,"31章","31章 肥料",426581,1939342,212864,723218,57.9,12.7
2015,4,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",140034,483307,222568,672363,-12.8,3.9
2015,4,64,"52章","52章 棉花",853946,2831704,626924,2287733,-11,-20.5
2015,5,3,"01章","01章 活动物",25600,117188,16827,154347,-2.9,14.1
2015,5,4,"02章","02章 肉及食用杂碎",55807,265447,308397,1515340,0.7,-4.9
2015,5,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",678989,3177664,297873,1566400,0.6,-7.2
2015,5,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",28736,145052,161969,957213,9.3,-61.2
2015,5,10,"07章","07章 食用蔬菜、根及块茎",457551,2112993,176933,864238,8.6,5.9
2015,5,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",128242,803816,384352,1927277,-5.6,36.1
2015,5,13,"10章","10章 谷物",9019,67954,520873,2262456,11.5,36.3
2015,5,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",30478,147781,48963,269438,-6.4,8.6
2015,5,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",36143,165362,382344,1746530,5.3,-32.2
2015,5,38,"31章","31章 肥料",639785,2579145,152098,875315,72.4,-1.4
2015,5,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",146481,629786,210374,882453,-13.5,3.7
2015,5,64,"52章","52章 棉花",895449,3726880,558631,2846343,-8.5,-18.9
2015,6,3,"01章","01章 活动物",28236,145424,13614,167961,-2.5,2.8
2015,6,4,"02章","02章 肉及食用杂碎",59875,325322,323870,1839360,0.8,-1.3
2015,6,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",632313,3809632,286437,1852768,-0.7,-6
2015,6,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",29335,174307,148278,1105500,9.5,-60.2
2015,6,10,"07章","07章 食用蔬菜、根及块茎",464143,2577077,149874,1014104,7.8,11.2
2015,6,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",149938,953447,336955,2264478,-1.2,35.6
2015,6,13,"10章","10章 谷物",19147,87101,663630,2925610,23,52.4
2015,6,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",30409,178184,46648,316087,-6.4,15.1
2015,6,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",32110,197472,486278,2232864,5,-26.2
2015,6,38,"31章","31章 肥料",480823,3059770,145620,1020800,68.5,-2.5
2015,6,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",124861,754472,248795,1131334,-12.5,7.9
2015,6,64,"52章","52章 棉花",792651,4519396,577099,3423326,-6.9,-17.4
2015,7,3,"01章","01章 活动物",28398,173823,22746,190555,-2.5,-9.7
2015,7,4,"02章","02章 肉及食用杂碎",54953,380318,358803,2198360,-0.2,1.6
2015,7,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",600750,4410467,306375,2158191,-3,-5.1
2015,7,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",33474,207781,182313,1287925,8.6,-58.2
2015,7,10,"07章","07章 食用蔬菜、根及块茎",483015,3060139,147975,1162012,8.2,12.3
2015,7,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",211136,1164574,257226,2521947,2.3,30.9
2015,7,13,"10章","10章 谷物",4711,91812,682034,3607286,5.7,62.3
2015,7,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",27794,205942,47509,363497,-7.9,16.2
2015,7,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",32939,230411,597767,2830341,3.9,-21.1
2015,7,38,"31章","31章 肥料",570180,3630476,226711,1247337,62.4,2.7
2015,7,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",116088,870560,252032,1383378,-12.2,10.9
2015,7,64,"52章","52章 棉花",816032,5335475,552943,3976314,-5.9,-19
2015,8,3,"01章","01章 活动物",30766,204589,31758,222313,-1.6,-22.2
2015,8,4,"02章","02章 肉及食用杂碎",52779,433097,346860,2545361,-1.9,3.6
2015,8,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",638917,5049068,302919,2460898,-4.4,-5.6
2015,8,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",30605,238553,147662,1435642,2.8,-56.6
2015,8,10,"07章","07章 食用蔬菜、根及块茎",478332,3538474,108018,1270080,8.7,10.4
2015,8,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",271690,1436267,267778,2790564,8.2,27.5
2015,8,13,"10章","10章 谷物",10084,101897,425379,4032216,2,65.4
2015,8,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",25336,231278,35229,398691,-8.1,10.4
2015,8,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",30941,261352,391671,3221581,1.8,-19.9
2015,8,38,"31章","31章 肥料",522945,4153356,233365,1480701,46.3,6.1
2015,8,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",98682,969205,182640,1565264,-12.9,10.8
2015,8,64,"52章","52章 棉花",870412,6205387,484816,4461247,-5.4,-19.5
2015,9,3,"01章","01章 活动物",32003,236591,43564,265877,-0.9,-26.6
2015,9,4,"02章","02章 肉及食用杂碎",55282,488379,420062,2965538,-3.8,7.7
