"年度","月份","序号","类章序号","类章名目","出口_当月","出口_累计","进口_当月","进口_累计","累计同期变动_出口","累计同期变动_进口"
2018,1,13,"10章","10章 谷物",54707,54707,382891,382891,81.2,16.9
2018,1,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",38645,38645,88581,88581,53.2,54.7
2018,1,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",61777,61777,526309,526309,63.2,3.6
2018,1,38,"31章","31章 肥料",208228,208228,198765,198765,27.9,12.1
2018,1,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",110839,110839,283395,283395,17.2,62.6
2018,1,64,"52章","52章 棉花",862956,862956,579261,579261,-2.3,13.8
2018,2,3,"01章","01章 活动物",30338,37375,8862,39330,-1.3,-8.6
2018,2,4,"02章","02章 肉及食用杂碎",39708,79832,433065,1072826,-4.7,2.9
2018,2,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",546998,1466513,442503,1018179,11.6,41.9
2018,2,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",31681,68250,232193,836417,4.8,24.6
2018,2,10,"07章","07章 食用蔬菜、根及块茎",411172,971390,116717,270489,-9.7,22.4
2018,2,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",213704,545053,492499,1226475,1.1,55.2
2018,2,13,"10章","10章 谷物",39697,94403,247578,630469,83.5,-5.1
2018,2,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",32385,71030,60357,148938,45.3,38.4
2018,2,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",53097,114874,340564,866876,76.3,-6.3
2018,2,38,"31章","31章 肥料",147991,356206,202171,400816,-25.3,8
2018,2,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",109468,220307,123646,406754,32,26.9
2018,2,64,"52章","52章 棉花",728228,1591030,316686,895945,22.6,-14.6
2018,3,3,"01章","01章 活动物",27551,64926,14908,54238,-4,8.8
2018,3,4,"02章","02章 肉及食用杂碎",41376,121208,678199,1751022,-10.6,7.8
2018,3,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",492952,1959418,539812,1558101,-5.1,33.9
2018,3,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",30337,98587,245380,1081682,2.2,16.3
2018,3,10,"07章","07章 食用蔬菜、根及块茎",568922,1540287,146822,417311,-8.7,16.4
2018,3,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",239002,784080,369767,1596237,4.2,45.6
2018,3,13,"10章","10章 谷物",32001,126405,367837,998306,38.2,-6.3
2018,3,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",43463,114492,73601,222538,41.5,23.8
2018,3,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",50968,165842,391381,1257365,57.7,-9.4
2018,3,38,"31章","31章 肥料",257871,614255,168291,569378,-20.5,4.7
2018,3,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",115596,335939,260941,667695,13.8,28
2018,3,64,"52章","52章 棉花",665992,2257126,493207,1389143,-0.2,-13.3
2018,4,3,"01章","01章 活动物",30042,94968,21588,75826,-6.5,-1.2
2018,4,4,"02章","02章 肉及食用杂碎",47024,168231,575595,2326551,-14,7.3
2018,4,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",663362,2622713,637322,2195395,-6.3,39.9
2018,4,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",28013,126576,257678,1339359,0.3,14.1
2018,4,10,"07章","07章 食用蔬菜、根及块茎",590201,2130305,146298,563609,-8.5,16
2018,4,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",227602,1011591,490094,2086289,6.8,43
2018,4,13,"10章","10章 谷物",50155,176560,503141,1501457,59.7,-0.7
2018,4,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",42561,157054,62821,285014,47,23.5
2018,4,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",55459,221253,375744,1630553,47.7,-14.6
2018,4,38,"31章","31章 肥料",242911,854477,144475,713853,-18.1,4.9
2018,4,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",163372,499234,240114,907796,15.4,21.5
2018,4,64,"52章","52章 棉花",959245,3216138,465548,1854701,0.2,-10.2
2018,5,3,"01章","01章 活动物",25973,120942,14387,90214,-9.3,3.9
2018,5,4,"02章","02章 肉及食用杂碎",45236,213468,618223,2944788,-13.5,7.6
2018,5,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",713237,3335687,623404,2818831,-6.6,39
2018,5,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",30452,157028,308568,1647922,-0.4,14.4
2018,5,10,"07章","07章 食用蔬菜、根及块茎",540771,2670975,115462,679083,-9.5,14.4
2018,5,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",181904,1193553,508806,2595100,7.5,34.1
2018,5,13,"10章","10章 谷物",35545,212105,563476,2064955,29.1,9.3
2018,5,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",46466,203519,53520,338534,48,23.8
2018,5,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",53162,274415,533495,2163771,39.8,-6.9
2018,5,38,"31章","31章 肥料",358896,1213363,148986,862532,-13.8,16.7
2018,5,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",166363,665495,310049,1217817,17,19.2
2018,5,64,"52章","52章 棉花",965179,4181433,595601,2450302,0.5,-2.1
2018,6,3,"01章","01章 活动物",27075,148017,35405,125618,-10.7,32.4
2018,6,4,"02章","02章 肉及食用杂碎",45482,258949,567522,3512417,-13.1,9.3
2018,6,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",670581,4006517,586297,3405222,-7.5,39.4
2018,6,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",28869,185922,261093,1909012,-1.9,7.7
2018,6,10,"07章","07章 食用蔬菜、根及块茎",565457,3236741,102233,781316,-11.5,16.1
2018,6,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",180498,1374136,388095,2983185,5.6,30.1
2018,6,13,"10章","10章 谷物",41692,253797,348471,2413343,18.4,7.5
2018,6,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",45132,248652,48004,386507,44.2,20.1
2018,6,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",61085,335549,435558,2598903,37.8,-4.6
2018,6,38,"31章","31章 肥料",477365,1690229,104728,967137,-9.5,19.2
2018,6,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",145585,811583,255052,1472818,16.5,17.8
2018,6,64,"52章","52章 棉花",817519,5061651,529681,2980046,0.9,1.2
2018,7,3,"01章","01章 活动物",38321,186339,29784,155402,-5.6,19.5
2018,7,4,"02章","02章 肉及食用杂碎",47643,306593,569883,4082309,-11.5,9.3
2018,7,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",732237,4738754,582622,3987746,-5.6,37.3
2018,7,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",30882,216767,320126,2229095,-1.6,7.2
2018,7,10,"07章","07章 食用蔬菜、根及块茎",594780,3831462,78213,859528,-10.8,11.2
2018,7,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",246077,1620118,420482,3404079,4.9,28.4
2018,7,13,"10章","10章 谷物",49477,302905,243854,2657208,23.9,-0.7
2018,7,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",46541,295193,49978,436472,43,15.9
2018,7,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",55404,390935,455303,3053440,33.4,-0.5
2018,7,38,"31章","31章 肥料",417890,2107742,110593,1077757,-7.3,17.9
2018,7,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",133822,945343,249693,1722512,16.2,17.9
2018,7,64,"52章","52章 棉花",811458,5873011,612103,3592180,0.9,5.9
2018,8,3,"01章","01章 活动物",19018,205357,12147,167550,-10.9,3.7
2018,8,4,"02章","02章 肉及食用杂碎",46286,352879,628924,4711031,-11.9,11.3
2018,8,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",693066,5431302,649927,4635684,-5.8,36.4
2018,8,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",34797,251564,360385,2589372,-2.2,6.6
2018,8,10,"07章","07章 食用蔬菜、根及块茎",558190,4389507,93357,952885,-10.7,12.7
2018,8,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",243629,1863598,535064,3939387,2.2,29.6
2018,8,13,"10章","10章 谷物",44381,352068,218323,2875401,30.3,-4.2
2018,8,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",41448,336626,56764,493236,38.9,16.4
2018,8,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",66553,457340,497275,3550460,31.4,0.9
2018,8,38,"31章","31章 肥料",404283,2511927,115989,1193746,-8.5,15.9
2018,8,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",136265,1081644,235541,1958124,15.9,18.3
2018,8,64,"52章","52章 棉花",882208,6754503,674835,4266423,0.7,10.8
2018,9,3,"01章","01章 活动物",29625,234982,38588,206188,-10.3,18.5
2018,9,4,"02章","02章 肉及食用杂碎",50948,403827,632288,5343224,-9.2,14.1
2018,9,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",740329,6170100,781303,5413667,-4.4,37.4
2018,9,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",32706,284271,236885,2826171,-3.1,5.5
2018,9,10,"07章","07章 食用蔬菜、根及块茎",594618,4983519,68003,1020888,-9.8,4.5
2018,9,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",294356,2157956,465628,4405067,-0.8,30.9
2018,9,13,"10章","10章 谷物",45746,397556,262796,3138082,24.7,-6.9
2018,9,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",42622,376687,69650,560954,37.5,18.4
2018,9,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",65709,522199,565854,4114810,31.4,1.6
2018,9,38,"31章","31章 肥料",483962,2992963,102358,1291046,-2.1,11.3
2018,9,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",138319,1219942,169667,2125870,17.8,17.9
2018,9,64,"52章","52章 棉花",915291,7669511,592624,4858331,1.1,12.1
2018,10,3,"01章","01章 活动物",33718,268700,17525,223698,-8.1,18.1
2018,10,4,"02章","02章 肉及食用杂碎",54013,457592,580330,5923548,-7.8,14.7
2018,10,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",830074,7000099,744790,6158610,-2.8,39.6
2018,10,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",30799,315060,244190,3070576,-3.1,5.5
2018,10,10,"07章","07章 食用蔬菜、根及块茎",617047,5598599,115867,1136914,-8.9,4.8
2018,10,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",426473,2584416,335051,4741111,-1.1,31.7
2018,10,13,"10章","10章 谷物",54657,452213,205692,3343888,26.7,-9.2
2018,10,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",46385,423055,66252,627225,38,20.6
2018,10,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",67282,589386,467292,4582197,29.6,1.9
2018,10,38,"31章","31章 肥料",675714,3663095,104402,1395353,7.8,7.4
2018,10,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",128581,1348323,237704,2363564,18.7,19.1
2018,10,64,"52章","52章 棉花",865502,8523898,475947,5334471,0.3,11.3
2018,11,3,"01章","01章 活动物",32022,300721,28014,251712,-7.6,18.7
2018,11,4,"02章","02章 肉及食用杂碎",51170,508762,659897,6583394,-8.2,14.3
2018,11,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",876705,7876664,758493,6914084,-2.3,40.9
2018,11,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",34898,349967,327083,3397663,-2.8,6.4
2018,11,10,"07章","07章 食用蔬菜、根及块茎",653658,6253247,105292,1242214,-8.6,1.1
2018,11,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",474481,3058863,386411,5129546,-1.6,30.3
2018,11,13,"10章","10章 谷物",78343,530396,177070,3520786,29.2,-11.4
2018,11,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",50575,473631,82254,709479,36.6,21.9
2018,11,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",64317,653698,542200,5123848,28.9,1.3
2018,11,38,"31章","31章 肥料",564122,4225794,160587,1555902,13.6,8.5
2018,11,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",132382,1480754,219231,2582807,19.8,15.9
2018,11,64,"52章","52章 棉花",871093,9395135,545474,5879746,-0.1,10.9
2018,12,3,"01章","01章 活动物",58405,359126,20958,271807,-5.7,10.7
2018,12,4,"02章","02章 肉及食用杂碎",63451,571452,679344,7262789,-8,13
2018,12,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",885473,8761908,757675,7671460,-2.4,40.5
2018,12,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",39011,389034,296054,3693700,-2.4,7.5
2018,12,10,"07章","07章 食用蔬菜、根及块茎",688132,6939810,93573,1335787,-8.3,-2.1
2018,12,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",458987,3517836,597856,5726778,-2.2,31.9
2018,12,13,"10章","10章 谷物",99203,629818,254577,3775949,38.9,-13.1
2018,12,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",48094,521725,70848,779040,34.2,18.5
2018,12,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",67174,720906,564146,5688373,26.9,1.4
2018,12,38,"31章","31章 肥料",406635,4629971,244542,1800453,12.8,14.8
2018,12,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",147078,1627774,172224,2755025,20,12
2018,12,64,"52章","52章 棉花",774677,10166996,643639,6523460,-0.8,11.8
2019,1,3,"01章","01章 活动物",23188,23188,42580,42580,229.5,39.6
2019,1,4,"02章","02章 肉及食用杂碎",42929,42929,830311,830311,7,29.8
2019,1,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",921398,921398,1011596,1011596,0.2,75.8
2019,1,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",39445,39445,693698,693698,7.9,14.8
2019,1,10,"07章","07章 食用蔬菜、根及块茎",532777,532777,113501,113501,-4.9,-26.2
2019,1,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",374596,374596,1096988,1096988,13,49.3
2019,1,13,"10章","10章 谷物",40927,40927,518575,518575,-25.2,35.5
2019,1,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",40727,40727,110587,110587,5.4,24.8
2019,1,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",59163,59163,617912,617912,-4.2,17.6
2019,1,38,"31章","31章 肥料",424868,424868,278462,278462,104.7,40.2
2019,1,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",133994,133994,206067,206067,21,-27.2
2019,1,64,"52章","52章 棉花",951207,951207,720623,720623,10.5,24.4
2019,2,3,"01章","01章 活动物",14530,37718,7267,49847,0.9,26.6
2019,2,4,"02章","02章 肉及食用杂碎",32231,75160,573887,1403799,-5.9,30.9
2019,2,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",361726,1283042,578878,1589798,-12.5,56.2
2019,2,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",27574,67019,257115,950811,-1.8,13.7
2019,2,10,"07章","07章 食用蔬菜、根及块茎",313220,846102,86755,200255,-12.9,-26
2019,2,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",165339,539935,431307,1528301,-0.9,24.5
2019,2,13,"10章","10章 谷物",36740,77667,170226,688753,-17.7,9.3
2019,2,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",34110,74833,65158,175745,5.4,18
2019,2,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",36907,96070,385265,1003177,-16.4,16
2019,2,38,"31章","31章 肥料",260474,685371,251016,529470,92.9,32.1
2019,2,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",112190,246161,118159,324226,11.8,-20.3
2019,2,64,"52章","52章 棉花",487968,1439251,544884,1265438,-9.5,41.2
2019,3,3,"01章","01章 活动物",26604,64322,23484,73288,-0.9,35
2019,3,4,"02章","02章 肉及食用杂碎",41982,117144,766966,2170823,-3.4,24
2019,3,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",694108,1977146,754327,2344219,0.9,50.5
2019,3,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",34992,102010,285498,1236312,3.5,14.3
2019,3,10,"07章","07章 食用蔬菜、根及块茎",561724,1407771,102527,302783,-8.6,-27.4
2019,3,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",235273,775148,584763,2113125,-1.1,32.3
2019,3,13,"10章","10章 谷物",63238,140904,258513,947143,11.5,-5.1
2019,3,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",50458,125138,71799,247544,9.3,11.3
2019,3,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",60809,156879,445475,1447801,-5.4,15.4
2019,3,38,"31章","31章 肥料",383647,1068584,217061,746456,75,31.2
2019,3,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",170053,416213,201833,526059,23.9,-21.2
2019,3,64,"52章","52章 棉花",905457,2343595,594591,1859439,2.2,33.9
2019,4,3,"01章","01章 活动物",30186,94508,24995,98277,-0.5,29.5
2019,4,4,"02章","02章 肉及食用杂碎",45887,163032,918217,3088156,-3.1,32.7
2019,4,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",698561,2675554,872798,3216848,2,46.6
2019,4,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",25920,127726,334207,1570466,0.9,17.3
2019,4,10,"07章","07章 食用蔬菜、根及块茎",523353,1931216,137120,439901,-9.3,-22
2019,4,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",177883,953030,852279,2965273,-5.8,42
2019,4,13,"10章","10章 谷物",89911,230816,342958,1290107,30.7,-14.1
2019,4,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",46406,171544,103925,350725,9.2,23
2019,4,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",68029,224918,446469,1893890,1.6,16.2
2019,4,38,"31章","31章 肥料",418784,1487247,256805,1003261,74.7,40.6
2019,4,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",145125,562011,299400,825447,12.5,-9
2019,4,64,"52章","52章 棉花",860590,3204236,615268,2474996,-2.1,33.4
2019,5,3,"01章","01章 活动物",29891,124398,38534,136811,2.9,51.6
2019,5,4,"02章","02章 肉及食用杂碎",51338,214370,1020112,4108374,0.4,39.5
2019,5,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",739540,3415120,828810,4045988,2.4,43.6
2019,5,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",30109,157838,324975,1894920,0.5,15
2019,5,10,"07章","07章 食用蔬菜、根及块茎",580620,2511814,105345,545232,-5.9,-19.7
2019,5,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",128824,1081662,736054,3701316,-9.4,42.5
2019,5,13,"10章","10章 谷物",90412,321228,275027,1565027,51.5,-24.2
2019,5,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",43984,215509,80953,425462,5.9,25.6
2019,5,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",65435,290353,528206,2421162,5.8,12
2019,5,38,"31章","31章 肥料",473062,1960304,245934,1249196,62.2,44.9
2019,5,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",183079,745092,275076,1100586,11.9,-9.6
2019,5,64,"52章","52章 棉花",954554,4158824,643792,3119386,-1.9,27.3
2019,6,3,"01章","01章 活动物",22803,147201,25916,162727,-0.6,29.5
2019,6,4,"02章","02章 肉及食用杂碎",47298,261668,1028130,5136215,1.1,46.2
2019,6,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",698808,4114262,723835,4769079,2.7,40.2
2019,6,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",28857,186695,316095,2211009,0.4,15.8
2019,6,10,"07章","07章 食用蔬菜、根及块茎",687876,3199622,82633,627907,-1.1,-19.6
2019,6,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",168246,1249907,494963,4196724,-9,40.6
2019,6,13,"10章","10章 谷物",77892,399120,276208,1841235,57.5,-23.7
2019,6,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",49963,265472,55695,481090,7.2,24.8
2019,6,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",70823,361177,572516,2993559,7.6,15.3
2019,6,38,"31章","31章 肥料",375819,2336101,186713,1436045,38.7,48.5
2019,6,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",164867,909859,230320,1330807,12.1,-9.6
2019,6,64,"52章","52章 棉花",783233,4941990,537058,3655152,-2.2,22.7
2019,7,3,"01章","01章 活动物",19221,166606,25304,188029,-10.6,21
2019,7,4,"02章","02章 肉及食用杂碎",50048,311724,1155591,6290929,1.8,54.1
2019,7,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",671285,4785327,822710,5591245,1,40.4
2019,7,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",32285,218980,345946,2556842,1,14.7
2019,7,10,"07章","07章 食用蔬菜、根及块茎",636126,3835707,68736,696644,0.2,-19
2019,7,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",312741,1562626,633207,4829413,-3.5,41.8
2019,7,13,"10章","10章 谷物",86511,485615,236679,2077948,58,-21.8
2019,7,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",46413,311875,51585,532571,6.3,22.6
2019,7,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",69454,430628,593802,3587024,10.3,17.5
2019,7,38,"31章","31章 肥料",538552,2873946,206181,1642225,36.7,53.1
2019,7,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",130897,1040739,199237,1530055,10.1,-11.1
2019,7,64,"52章","52章 棉花",766565,5708014,530930,4185455,-2.7,16.5
2019,8,3,"01章","01章 活动物",27934,194540,32501,220529,-5.3,31.6
2019,8,4,"02章","02章 肉及食用杂碎",50549,362273,1035932,7326679,2.7,55.5
2019,8,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",663957,5448046,905761,6497095,0.3,40.3
2019,8,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",31231,250211,365632,2922436,-0.5,12.9
2019,8,10,"07章","07章 食用蔬菜、根及块茎",572390,4408294,83175,779816,0.5,-18.2
2019,8,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",360781,1923404,832788,5662156,3.2,43.6
2019,8,13,"10章","10章 谷物",64082,549697,206393,2284324,56.3,-20.6
2019,8,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",52337,364203,65013,597551,9,21.6
2019,8,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",86513,517141,596310,4182906,13.3,17.9
2019,8,38,"31章","31章 肥料",442118,3316007,135816,1778041,32.4,49.6
2019,8,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",112564,1153217,129398,1659524,6.6,-15.2
2019,8,64,"52章","52章 棉花",748264,6455688,415607,4601164,-4.3,7.9
2019,9,3,"01章","01章 活动物",31038,225578,23951,244481,-4,18.6
2019,9,4,"02章","02章 肉及食用杂碎",52941,415214,1138162,8464716,3.1,58.4
2019,9,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",710449,6158464,952550,7449322,-0.2,37.6
2019,9,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",32076,282287,301359,3223791,-0.7,14.1
2019,9,10,"07章","07章 食用蔬菜、根及块茎",600139,5008424,62798,842614,0.5,-17.5
2019,9,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",479241,2402585,619345,6281817,11.3,42.5
2019,9,13,"10章","10章 谷物",33063,582753,269945,2554234,46.5,-18.6
2019,9,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",52872,417075,76981,674558,10.7,20.2
2019,9,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",72656,589788,595859,4778946,13,16.2
2019,9,38,"31章","31章 肥料",461711,3777937,247653,2025676,26.5,56.9
2019,9,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",123102,1276315,111434,1770974,4.6,-16.7
2019,9,64,"52章","52章 棉花",798165,7252872,401689,5002857,-5.3,3
2019,10,3,"01章","01章 活动物",24743,250321,42909,287452,-6.8,28.5
2019,10,4,"02章","02章 肉及食用杂碎",50788,466002,1222841,9687579,2,63.6
2019,10,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",763187,6921624,971054,8420165,-1.1,36.8
2019,10,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",34935,317222,304713,3527816,0.7,14.9
2019,10,10,"07章","07章 食用蔬菜、根及块茎",640511,5648808,71088,913695,0.9,-19.6
2019,10,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",618429,3020565,400332,6683049,16.9,40.9
2019,10,13,"10章","10章 谷物",66028,648781,256034,2810434,43.4,-16
2019,10,14,"11章","11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",53083,470158,62646,737205,11.1,17.5
2019,10,19,"15章","15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",72592,662380,677007,5456464,12.4,19.1
2019,10,38,"31章","31章 肥料",376535,4154682,129775,2155432,13.5,54.5
2019,10,63,"51章","51章 羊毛、动物细毛或粗毛；马毛纱线及其机织物",128545,1404858,135932,1906910,4.2,-19.3
2019,10,64,"52章","52章 棉花",861251,8114438,380139,5383075,-4.8,0.9
2019,11,3,"01章","01章 活动物",36447,286768,26948,314452,-4.6,25.4
2019,11,4,"02章","02章 肉及食用杂碎",47805,513807,1581249,11269015,1.1,71.2
2019,11,5,"03章","03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",798214,7719787,1027697,9449079,-2,36.7
2019,11,6,"04章","04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",35317,352539,434599,3962139,0.7,16.6
2019,11,10,"07章","07章 食用蔬菜、根及块茎",754322,6403186,106430,1020373,2.4,-17.9
2019,11,11,"08章","08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",650786,3671393,568782,7252197,20,41.4
